,DAY,SKU,Location,Alley,AlleyCell,Max,Min,WEEK-1,WEEK-2,WEEK-3,WEEK-4,WEEK-5
6181,TUE,302584,A0727401,A07,A0727,62.0,47.0,0.0,3.0,2.0,2.0,5.0
6182,TUE,302644,A0238508,A02,A0238,800.0,600.0,0.0,0.0,1.0,0.0,0.0
6183,TUE,302664,A0238101,A02,A0238,160.0,120.0,0.0,0.0,0.0,0.0,1.0
6184,TUE,302739,A0703201,A07,A0703,48.0,36.0,1.0,0.0,0.0,0.0,1.0
6185,TUE,303095,A0528303,A05,A0528,48.0,36.0,0.0,0.0,1.0,0.0,0.0
6186,TUE,303470,A0337304,A03,A0337,1200.0,900.0,1.0,0.0,0.0,0.0,0.0
6187,TUE,303474,A0311106,A03,A0311,123.0,92.0,0.0,1.0,0.0,0.0,0.0
6188,TUE,303864,A0634302,A06,A0634,140.0,105.0,0.0,1.0,0.0,0.0,0.0
6189,TUE,303890,A0903402,A09,A0903,600.0,450.0,1.0,0.0,0.0,1.0,2.0
6190,TUE,303894,A0306402,A03,A0306,288.0,216.0,2.0,0.0,1.0,0.0,0.0
6191,TUE,304064,A0403502,A04,A0403,144.0,108.0,0.0,1.0,0.0,0.0,0.0
6192,TUE,304285,A0224306,A02,A0224,307.0,230.0,0.0,1.0,0.0,0.0,0.0
6193,TUE,304358,A0625502,A06,A0625,421.0,316.0,4.0,5.0,2.0,8.0,4.0
6194,TUE,304359,A0623504,A06,A0623,600.0,450.0,0.0,0.0,2.0,2.0,0.0
6195,TUE,304411,A0328407,A03,A0328,140.0,105.0,1.0,0.0,1.0,0.0,1.0
6196,TUE,304549,A0209201,A02,A0209,192.0,144.0,0.0,1.0,0.0,0.0,0.0
6197,TUE,304612,A0119202,A01,A0119,800.0,600.0,3.0,0.0,1.0,0.0,0.0
6198,TUE,304614,A0201402,A02,A0201,320.0,240.0,1.0,0.0,0.0,0.0,0.0
6199,TUE,304995,A0529404,A05,A0529,84.0,63.0,1.0,0.0,0.0,0.0,0.0
6200,TUE,305011,A0320408,A03,A0320,80.0,60.0,0.0,0.0,0.0,1.0,0.0
6201,TUE,305126,A0236405,A02,A0236,80.0,60.0,0.0,0.0,1.0,0.0,0.0
6202,TUE,305286,A0744201,A07,A0744,120.0,90.0,3.0,1.0,0.0,0.0,3.0
6203,TUE,305325,B0301304,B03,B0301,100.0,50.0,0.0,1.0,0.0,0.0,0.0
6204,TUE,305388,A0730102,A07,A0730,0.0,0.0,7.0,11.0,12.0,8.0,12.0
6205,TUE,305597,A0427404,A04,A0427,800.0,600.0,0.0,1.0,0.0,0.0,0.0
6206,TUE,305600,A0430203,A04,A0430,800.0,600.0,0.0,1.0,1.0,0.0,10.0
6207,TUE,305603,A0425503,A04,A0425,800.0,600.0,1.0,0.0,0.0,0.0,0.0
6208,TUE,305618,A0428201,A04,A0428,800.0,600.0,0.0,1.0,0.0,0.0,0.0
6209,TUE,305619,A0427201,A04,A0427,800.0,600.0,0.0,1.0,0.0,1.0,1.0
6210,TUE,305620,A0424403,A04,A0424,800.0,600.0,4.0,1.0,2.0,0.0,5.0
6211,TUE,305795,A0732201,A07,A0732,0.0,0.0,1.0,3.0,6.0,2.0,2.0
